2026-07-07 15:07:09,929 | WARNING | api.exchange_service | Falling back to cache for USD/INR: Exchange rate not available for USD to INR.
2026-07-07 15:08:49,413 | WARNING | api.exchange_service | Primary symbol provider unavailable: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:10:08,757 | WARNING | api.exchange_service | Primary symbol provider unavailable: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:10:11,356 | WARNING | api.exchange_service | Primary rate provider unavailable for USD/INR: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:14:00,540 | WARNING | api.exchange_service | Primary symbol provider unavailable: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:15:02,470 | WARNING | api.exchange_service | Primary symbol provider unavailable: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:15:05,851 | WARNING | api.exchange_service | Primary rate provider unavailable for EUR/USD: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:21:17,508 | WARNING | api.exchange_service | Primary symbol provider unavailable: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:22:47,244 | WARNING | api.exchange_service | Primary rate provider unavailable for USD/INR: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:22:53,288 | WARNING | api.exchange_service | Primary rate provider unavailable for USD/INR: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:22:59,375 | WARNING | api.exchange_service | Primary rate provider unavailable for INR/USD: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:23:15,891 | WARNING | api.exchange_service | Primary rate provider unavailable for INR/USD: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:23:20,591 | WARNING | api.exchange_service | Primary rate provider unavailable for INR/USD: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:23:48,114 | WARNING | api.exchange_service | Primary rate provider unavailable for EUR/USD: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:24:20,482 | WARNING | api.exchange_service | Primary rate provider unavailable for EUR/USD: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:25:19,215 | WARNING | api.exchange_service | Primary rate provider unavailable for EUR/USD: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:26:19,313 | WARNING | api.exchange_service | Primary rate provider unavailable for EUR/USD: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:27:19,372 | WARNING | api.exchange_service | Primary rate provider unavailable for EUR/USD: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:28:19,883 | WARNING | api.exchange_service | Primary rate provider unavailable for EUR/USD: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:29:19,262 | WARNING | api.exchange_service | Primary rate provider unavailable for EUR/USD: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
2026-07-07 15:30:19,423 | WARNING | api.exchange_service | Primary rate provider unavailable for EUR/USD: You have not supplied an API Access Key. [Required format: access_key=YOUR_ACCESS_KEY]
